VAR0800,,,,ST39 Alberta Mineable Oil Sands Plant Statistics - Monthly,,,,,,,,Run Date: 2/24/2026,
,,,,Production Month/Year: November 2025,,,,,,,,,
,,,,,,,,,,,,,
Aux Sable Canada Ltd. - ABOS0117863 AUX SABLE HEARTLAND OFFGAS PLANT,,,,,,,,,,,,,
,,,,,,,,,,,,,
Electricity (MWh),,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,2025
Purchased,"2,922.00","2,546.30","2,863.10","2,263.00",888.6,"2,483.80","2,794.90","2,834.50","2,724.00","2,746.20","2,821.90",0,"27,888.30"
Generated,0,0,0,0,0,0,0,0,0,0,0,0,0
,"2,922.00","2,546.30","2,863.10","2,263.00",888.6,"2,483.80","2,794.90","2,834.50","2,724.00","2,746.20","2,821.90",0,"27,888.30"
,,,,,,,,,,,,,
Plant Use,"2,922.00","2,546.30","2,863.10","2,263.00",888.6,"2,483.80","2,794.90","2,834.50","2,724.00","2,746.20","2,821.90",0,"27,888.30"
Exported,0,0,0,0,0,0,0,0,0,0,0,0,0
,"2,922.00","2,546.30","2,863.10","2,263.00",888.6,"2,483.80","2,794.90","2,834.50","2,724.00","2,746.20","2,821.90",0,"27,888.30"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Intermediate Hydrocarbon (m³),,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,2025
Opening Inventory,14.5,17.8,18.4,14.5,18,19,16.1,19.5,17.3,15.4,20.6,0,14.5
Receipts,0,0,0,0,0,0,0,0,0,0,0,0,0
Production,"24,571.50","20,161.10","21,351.50","11,217.60","2,408.10","16,720.40","18,778.60","18,475.70","15,918.90","13,246.10","18,380.30",0,"181,229.80"
,"24,586.00","20,178.90","21,369.90","11,232.10","2,426.10","16,739.40","18,794.70","18,495.20","15,936.20","13,261.50","18,400.90",0,"181,244.30"
Closing Inventory,17.8,18.4,14.5,18,19,16.1,19.5,17.3,15.4,20.6,16.4,0,16.4
,"24,568.20","20,160.50","21,355.40","11,214.10","2,407.10","16,723.30","18,775.20","18,477.90","15,920.80","13,240.90","18,384.50",0,"181,227.90"
,,,,,,,,,,,,,
Further Processing,0,0,0,0,0,0,0,0,0,0,0,0,0
Deliveries,"24,568.20","20,160.50","21,355.40","11,214.10","2,407.10","16,723.30","18,775.20","18,477.90","15,920.80","13,240.90","18,384.50",0,"181,227.90"
